Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS210308-02,2021/03/08,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.167000,114.244000,-22.166575,114.214542,-22.166150,114.185083,,,12.00,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS210309-02,2021/03/09,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.102900,114.141400,-22.135550,114.146050,-22.168200,114.150700,,,15.90,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS210803-1,2021/08/03,aipysurus,apraefrontalis,Exmouth Gulf,,,-21.965000,114.253833,-21.985842,114.228033,-22.006683,114.202233,,,,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS211105,2021/11/05,Aipysurus,apraefrontalis,Shark Bay,,,-25.921200,113.226200,-25.912275,113.224450,-25.903350,113.222700,,,10.20,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS090405-01,2009/04/05,Aipysurus,foliosquama,Shark Bay,,,-25.577000,113.211500,-25.577000,113.211500,,,,,,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS140818-01,2014/08/18,Aipysurus,foliosquama,Shark Bay,,,-25.399917,113.640650,-25.390250,113.626825,-25.380583,113.613000,,,13.70,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS140818-03,2014/08/18,Aipysurus,foliosquama,Shark Bay,,,-25.392417,113.588917,-25.385683,113.580458,-25.378950,113.572000,,,14.20,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS141120-03,2014/11/20,Aipysurus,foliosquama,Shark Bay,,,-25.552667,113.201783,-25.562158,113.201975,-25.571650,113.202167,,,18.10,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150211-01,2015/02/11,Aipysurus,foliosquama,Shark Bay,,,-25.156183,113.582050,-25.163042,113.589442,-25.169900,113.596833,,,12.90,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150216-01,2015/02/16,Aipysurus,foliosquama,Shark Bay,,,-25.259167,113.447217,-25.250083,113.445692,-25.241000,113.444167,,,16.20,20,,,,,,,
